fii name
abcp11
afcr11
afhi11
afof11
aiec11
almi11
alzr11
ancr11b
apto11
aqll11
arct11
arfi11b
arri11
atcr11
atsa11
atwn11
bari11
bbfi11b
bbfo11
bbim11
bbpo11
bbrc11
bbvj11
bcff11
bcia11
bcri11
bicr11
bime11
blca11
blcp11
blmc11
blmg11
blmo11
blmr11
bmii11
bmlc11
bmlc11b
bnfs11
bpff11
bpml11
brco11
brcr11
brev11
brht11b
brip11
brla11
brol11
btal11
btcr11
btgm11
btlg11
btra11
btsg11
btwr11
bvar11
bzli11
cacr11
care11
cbop11
ccrf11
ceoc11
cjct11
cnes11
corm11
cpff11
cpts11
crff11
ctxt11
cvbi11
cxag11
cxce11b
cxco11
cxri11
cxtl11
cycr11
deva11
dmac11
domc11
dovl11b
drit11b
dvff11
edfo11b
edga11
egyr11
eldo11b
eqia11
eqin11
eqir11
ercr11
erpa11
euro11
evbi11
faed11
famb11b
fatn11
fcas11
fcfl11
fexc11
ffci11
figs11
fiib11
fiip11b
finf11
fisc11
fivn11
flcr11
flma11
flrp11
fmof11
foft11
fpab11
fpng11
fvbi11
fvpq11
galg11
game11
gcff11
gcri11
gese11b
ggrc11
glpl11
grlv11
gsfi11
gtlg11
gtwr11
haaa11
habt11
hbrh11
hbtt11
hchg11
hcri11
hcst11
hctr11
hfof11
hgbs11
hgcr11
hgff11
hgic11
hglg11
hgpo11
hgre11
hgrs11
hgru11
hlog11
hmoc11
hosi11
hpdp11
hrdf11
hrec11
hsaf11
hslg11
hsml11
hsre11
htmx11
husc11
husi11
ibcr11
ibff11
idfi11
ifid11
ifie11
irdm11
irim11
jfll11
jgpx11
jppa11
jrdm11
jsaf11
jsre11
keve11
kfof11
kinp11
kisu11
kncr11
knhy11
knip11
knre11
knri11
knsc11
lasc11
lftt11
lgcp11
lugg11
lvbi11
mall11
matv11
maxr11
mbrf11
mcci11
mcff11
mchf11
mchy11
mfai11
mfii11
mfvi11
mgcr11
mgff11
mght11
mglg11
mint11
moff11
morc11
more11
mtof11
mxrf11
navt11
nchb11
newl11
newu11
nslu11
nvho11
nvif11b
onef11
orpd11
ouff11
oujp11
oulg11
oure11
paby11
patc11
patl11
plcr11
plog11
plri11
pord11
pqag11
pqdp11
prsv11
prts11
pvbi11
qagr11
qami11
qiff11
qiri11
qmff11
rbbv11
rbcb11
rbco11
rbds11
rbed11
rbff11
rbgs11
rbhg11
rbhy11
rbir11
rbiv11
rblg11
rbrd11
rbrf11
rbri11
rbrl11
rbrp11
rbrr11
rbrs11
rbry11
rbts11
rbva11
rbvo11
rcfa11
rcff11
rcrb11
rdes11
rdpd11
rech11
recr11
rect11
recx11
relg11
rfof11
rmai11
rndp11
rngo11
rrci11
rspd11
rvbi11
rzag11
rzak11
rztr11
saag11
sadi11
saic11b
sare11
scpf11
sdil11
sdip11
seqr11
sfnd11
shdp11b
shop11
shph11
sjau11
snci11
snff11
sptw11
spvj11
srvd11
strx11
tbof11
tcin11
teld11
tepp11
tgar11
thra11
tord11
trnt11
trxf11
trxl11
ubsr11
urpr11
vcjr11
vcrr11
vere11
vghf11
vgia11
vgip11
vgir11
vifi11
vilg11
vino11
visc11
viur11
vjfd11
vlol11
vots11
vpsi11
vrta11
vsho11
vslh11
vtlt11
vtpl11
vvpr11
vxxv11
wplz11
wtsp11b
xpca11
xpci11
xpcm11
xpht11
xpin11
xplg11
xpml11
xppr11
xpsf11
xted11
ychy11
yufi11b
